Sample	Taxonomy	Count
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Comamonadaceae(0.91),g:uncultured(0.13),s:uncultured bacterium(0.41)	72
FrozenWWsample	k:Bacteria(1.00),p:Actinobacteriota(1.00),c:Actinobacteria(1.00),o:Propionibacteriales(0.96),f:Propionibacteriaceae(0.96),g:Cutibacterium(0.96),s:uncultured bacterium(0.97)	71
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:FTLpost3(1.00),g:uncultured bacterium(0.73)	70
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(0.99),c:Clostridia(0.99),o:Oscillospirales(0.13),f:Ruminococcaceae(0.13),g:Ruminococcus(0.10),s:uncultured bacterium(0.89)	69
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(0.96),o:Lachnospirales(0.96),f:Lachnospiraceae(0.96),g:Agathobacter(0.48),s:uncultured bacterium(0.95)	69
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Flavobacteriales(1.00),f:Flavobacteriaceae(1.00),g:Flavobacterium(1.00),s:uncultured Flavobacterium sp.(0.25)	68
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(0.89),c:Gammaproteobacteria(0.89),o:Burkholderiales(0.87),f:Comamonadaceae(0.84),g:Acidovorax(0.36),s:iron-reducing bacterium enrichment culture clone FEA_2_G3(0.17)	68
FrozenWWsample	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Arcobacteraceae(0.99),g:Pseudarcobacter(0.37),s:Pseudarcobacter defluvii(0.02)	66
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(0.92),f:Moraxellaceae(0.92),g:Acinetobacter(0.92),s:uncultured gamma proteobacterium(0.15)	66
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Bacilli(1.00),o:Lactobacillales(1.00),f:Streptococcaceae(1.00),g:Streptococcus(1.00),s:Streptococcus equinus(0.79)	64
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Bacilli(1.00),o:Izemoplasmatales(1.00),f:uncultured bacterium(1.00)	63
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Clostridia vadinBB60 group(0.99),f:uncultured bacterium(0.99)	62
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Monoglobales(0.09),f:Monoglobaceae(0.09),g:Monoglobus(0.09),s:uncultured bacterium(0.73)	62
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Oscillospirales(1.00),f:[Eubacterium] coprostanoligenes group(1.00),g:uncultured bacterium(1.00)	61
FrozenWWsample	k:Bacteria(1.00),p:Actinobacteriota(0.99),c:Actinobacteria(0.99),o:Propionibacteriales(0.99),f:Propionibacteriaceae(0.99),g:Cutibacterium(0.93),s:uncultured bacterium(0.73)	60
FrozenWWsample	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Sulfurospirillaceae(0.87),g:Sulfurospirillum(0.87),s:uncultured Epsilonproteobacteria bacterium(0.53)	60
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00),s:uncultured bacterium(0.94)	59
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(0.98),c:Bacilli(0.98),o:Lactobacillales(0.98),f:Streptococcaceae(0.98),g:Streptococcus(0.97),s:uncultured bacterium(0.30)	59
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Lachnospirales(0.96),f:Lachnospiraceae(0.96),g:Agathobacter(0.32),s:uncultured bacterium(0.82)	59
FrozenWWsample	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Sulfurospirillaceae(0.36),g:Sulfurospirillum(0.36),s:uncultured Epsilonproteobacteria bacterium(0.23)	56
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Negativicutes(1.00),o:Acidaminococcales(1.00),f:Acidaminococcaceae(1.00),g:uncultured(1.00),s:uncultured bacterium(0.29)	56
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(0.96),c:Clostridia(0.96),o:Lachnospirales(0.85),f:Lachnospiraceae(0.85),g:Agathobacter(0.24),s:uncultured bacterium(0.85)	54
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Bacilli(1.00),o:Erysipelotrichales(1.00),f:Erysipelotrichaceae(1.00),g:Erysipelothrix(1.00),s:Erysipelothrix rhusiopathiae(0.46)	54
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Clostridia vadinBB60 group(0.55),f:uncultured bacterium(0.55)	53
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Lachnospirales(1.00),f:Lachnospiraceae(1.00),g:[Eubacterium] eligens group(0.70),s:uncultured bacterium(1.00)	53
